                                       C1,,,,,                                       C2,,,,,                                     C3,,,,,                                      C4,,,,
Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,set2,set3,Mean,Time(min),set1,Set2,set3,Mean
44,0.520873643,0.586552602,0.397612759,0.501679668,44,0.507846032,0.356865169,0.38047055,0.415060584,44,0.362994377,0.22193158,0.370891303,0.318605753,44,0.461012514,0.370891303,,0.415951909
45,0.492872266,0.595575497,0.373766785,0.487404849,45,0.476825852,0.345674049,0.327487508,0.383329136,45,0.363098117,0.225986902,0.303041206,0.297375408,45,0.46847809,0.303041206,,0.385759648
46,0.500626477,0.537320496,0.316326989,0.451424654,46,0.584789673,0.328492238,0.340657779,0.417979897,46,0.377313416,0.22108054,0.283020507,0.293804821,46,0.467725565,0.283020507,,0.375373036
47,0.49680076,0.662437055,0.351978997,0.503738937,47,0.487504254,0.327226293,0.292842184,0.36919091,47,0.370457093,0.209085291,0.287300002,0.288947462,47,0.445975164,0.287300002,,0.366637583
48,0.505333463,0.570603393,0.346928945,0.4742886,48,0.470049042,0.32485815,0.302293925,0.365733706,48,0.381746653,0.212492938,0.263183876,0.285807822,48,0.470259746,0.263183876,,0.366721811
49,0.517681889,0.602869169,0.400473511,0.50700819,49,0.631758183,0.311750884,0.335387789,0.426298952,49,0.378373209,0.236215355,0.333455485,0.316014683,49,0.458236679,0.333455485,,0.395846082
50,0.503180751,0.606752641,0.293368602,0.467767331,50,0.472792858,0.314216986,0.308718297,0.365242714,50,0.372797672,0.212640155,0.28414548,0.289861102,50,0.45829902,0.28414548,,0.37122225
51,0.486021153,0.634099285,0.369636021,0.496585486,51,0.599834791,0.326672989,0.345270093,0.423925958,51,0.3583062,0.221087823,0.34204017,0.307144731,51,0.468393632,0.34204017,,0.405216901
52,0.496635548,0.572145726,0.373257567,0.480679614,52,0.477894762,0.312446809,0.309701192,0.366680921,52,0.373170508,0.224392323,0.296488937,0.298017256,52,0.453350812,0.296488937,,0.374919875
53,0.506947433,0.558134121,0.293334212,0.452805255,53,0.628305976,0.356505256,0.295258365,0.426689866,53,0.373904762,0.206184722,0.300666644,0.293585376,53,0.437355836,0.300666644,,0.36901124
54,0.501168471,0.976202544,0.385220698,0.620863904,54,0.47728683,0.317627675,0.287372713,0.360762406,54,0.372955414,0.239709489,0.311977658,0.308214187,54,0.470514341,0.311977658,,0.391246
55,0.498516474,0.810728516,0.338823998,0.549356329,55,0.62544292,0.331416295,0.284999338,0.413952851,55,0.36252547,0.208484447,0.31430219,0.295104036,55,0.466740101,0.31430219,,0.390521146
56,0.503865125,1.008337412,0.323034413,0.61174565,56,0.485379546,0.328771919,0.323540391,0.379230619,56,0.373186414,0.215221123,0.317579692,0.301995743,56,0.457461693,0.317579692,,0.387520693
57,0.531132115,0.561379705,0.414173367,0.502228396,57,0.556750047,0.336443436,0.312426843,0.401873442,57,0.379244973,0.215221123,0.269689457,0.288051851,57,0.464545117,0.269689457,,0.367117287
58,0.494752568,0.489848157,0.335734735,0.44011182,58,0.472757163,0.335375832,0.330218442,0.379450479,58,0.379244973,0.206585394,0.300072789,0.295301052,58,0.466847214,0.300072789,,0.383460002
59,0.503914507,0.622227773,0.353054555,0.493065612,59,0.477041047,0.318696892,0.290590947,0.362109629,59,0.370869648,0.206488028,0.301615749,0.292991142,59,0.458557223,0.301615749,,0.380086486
60,0.483132547,0.554158834,0.36243407,0.46657515,60,0.469674199,0.317440854,0.330594003,0.372569685,60,0.369839203,0.23319156,0.367033003,0.323354589,60,0.46011598,0.367033003,,0.413574492
61,0.48554907,0.639787667,0.386711516,0.504016084,61,0.47749917,0.357092879,0.282750281,0.372447443,61,0.372166939,0.218264712,0.330864366,0.307098672,61,0.45475726,0.330864366,,0.392810813
62,0.491357128,0.71142676,0.358346725,0.520376871,62,0.480329589,0.335238229,0.324849229,0.380139016,62,0.367481773,0.209442101,0.302638778,0.293187551,62,0.457357864,0.302638778,,0.379998321
63,0.497408747,0.608251231,0.333918454,0.479859477,63,0.482765308,0.31656903,0.370557512,0.38996395,63,0.370556319,0.228031296,0.363583747,0.320723787,63,0.45360877,0.363583747,,0.408596259
64,0.474268656,0.574748188,0.413900938,0.487639261,64,0.472364611,0.296119651,0.312638295,0.360374186,64,0.37567487,0.229125983,0.350561324,0.318454059,64,0.454035272,0.350561324,,0.402298298
65,0.490948214,0.601287599,0.353964393,0.482066735,65,0.463956505,0.290089566,0.291502673,0.348516248,65,0.36927177,0.209661891,0.281587832,0.286840498,65,0.442677682,0.281587832,,0.362132757
66,0.489093313,0.639018963,0.401188063,0.50976678,66,0.476866752,0.308138863,0.328544792,0.371183469,66,0.363796441,0.20807915,0.294913893,0.288929828,66,0.46450333,0.294913893,,0.379708612
67,0.486333597,0.609793794,0.360757122,0.485628171,67,0.469754373,0.303140302,0.323127346,0.365340674,67,0.375072601,0.213088142,0.321847278,0.303336007,67,0.457199712,0.321847278,,0.389523495
68,0.492259117,0.598648149,0.413979325,0.501628864,68,0.478872688,0.359697472,0.332789833,0.390453331,68,0.370043448,0.214410938,0.302270686,0.295575024,68,0.447502143,0.302270686,,0.374886415
69,0.498828161,0.526036589,0.373951148,0.466271966,69,0.47832247,0.322506039,0.312187754,0.371005421,69,0.368071264,0.22635957,0.343896947,0.312775927,69,0.454017488,0.343896947,,0.398957218
70,0.469240242,0.59639776,0.370128383,0.478588795,70,0.476764083,0.316592856,0.301078247,0.364811729,70,0.373464102,0.242010839,0.349073489,0.321516143,70,0.45004914,0.349073489,,0.399561315
71,0.480514688,0.579164803,0.279868973,0.446516155,71,0.481182866,0.301230814,0.349752876,0.377388852,71,0.363081857,0.232154358,0.254539196,0.28325847,71,0.447595905,0.254539196,,0.351067551
72,0.479399406,0.580008534,0.242639128,0.434015689,72,0.477772904,0.302442524,0.359271115,0.379828848,72,0.341480128,0.226469403,0.297375222,0.288441584,72,0.478322324,0.297375222,,0.387848773
73,0.479600096,0.555934881,0.30676329,0.447432756,73,0.482909782,0.30144656,0.333187846,0.372514729,73,0.367060078,0.208713928,0.340028945,0.30526765,73,0.49068309,0.340028945,,0.415356018
74,0.486997169,0.60362176,0.318946927,0.469855285,74,0.474396349,0.288461174,0.294507245,0.352454923,74,0.371031342,0.224903445,0.311038777,0.302324521,74,0.478963183,0.311038777,,0.39500098
75,0.479053958,0.548636615,0.333040325,0.453576966,75,0.467352453,0.303289189,0.309157643,0.359933095,75,0.362319486,0.212050704,0.349953333,0.308107841,75,0.472814375,0.349953333,,0.411383854
76,0.504081361,0.625229782,0.339127951,0.489479698,76,0.47092803,0.331232497,0.300962211,0.367707579,76,0.367810337,0.217498778,0.387639658,0.324316258,76,0.483470037,0.387639658,,0.435554848
77,0.464329106,0.854598224,0.450803694,0.589910341,77,0.505086299,0.294301311,0.309632669,0.369673426,77,0.3601308,0.225906928,0.315953199,0.300663642,77,0.475780588,0.315953199,,0.395866894
78,0.485006488,0.706768435,0.426935014,0.539569979,78,0.47610567,0.286681046,0.285844699,0.349543805,78,0.369060718,0.22492541,0.278068971,0.290685033,78,0.476502313,0.278068971,,0.377285642
79,0.475398393,0.641249765,0.349132946,0.488593701,79,0.465813091,0.305519135,0.331491938,0.367608055,79,0.379452,0.170165234,0.263452445,0.271023226,79,0.466082776,0.263452445,,0.364767611
80,0.465596924,0.562338492,0.388477977,0.472137798,80,0.469386363,0.32698226,0.350431835,0.382266819,80,0.367060078,0.205697243,0.347595232,0.306784184,80,0.47671864,0.347595232,,0.412156936
81,0.486571478,0.557644671,0.357735868,0.467317339,81,0.474949753,0.302277537,0.310047447,0.362424912,81,0.37567487,0.220503568,0.301401753,0.299193397,81,0.472605906,0.301401753,,0.38700383
82,0.504216833,0.601275515,0.367528682,0.49100701,82,0.468627226,0.310966362,0.297960251,0.359184613,82,0.37567487,0.197641507,0.302093633,0.291803337,82,0.479688101,0.302093633,,0.390890867
83,0.499209946,0.639984283,0.409350486,0.516181572,83,0.466720871,0.306139277,0.330328993,0.367729714,83,0.368071264,0.201871656,0.297125249,0.289022723,83,0.451070851,0.297125249,,0.37409805
84,0.476305566,0.550976642,0.310288426,0.445856878,84,0.464382207,0.28702451,0.290561482,0.347322733,84,0.375072601,0.221257207,0.341464274,0.312598027,84,0.477975352,0.341464274,,0.409719813
85,0.491687014,0.575300693,0.453033239,0.506673649,85,0.47323576,0.281153327,0.348774521,0.367721203,85,0.379452,0.212424454,0.301404434,0.297760296,85,0.477409697,0.301404434,,0.389407066
86,0.481826322,0.589876761,0.327145039,0.466282707,86,0.449930207,0.297024475,0.367893287,0.37161599,86,0.363081857,0.228216057,0.273016031,0.288104648,86,0.472490018,0.273016031,,0.372753025
87,0.470714564,0.56428139,0.375360381,0.470118778,87,0.468002877,0.280581971,0.310150473,0.352911774,87,0.363081857,0.218049067,0.31160007,0.297576998,87,0.4732698,0.31160007,,0.392434935
