                                      C1,,,,,,                                       C2,,,,,,                                       C3,,,,,,                                       C4,,Speckle Contrast,,
Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,set2,set3,Mean,,Time(min),set1,Set2,set3,Mean
56,0.583197957,0.410829485,0.513681195,0.502569546,,56,0.440136148,0.238652756,0.513681195,0.397490033,,56,0.4235,0.186014708,0.366778049,0.325430919,,56,0.382987139,0.366778049,,0.374882594
57,0.558419685,0.263072428,0.394619873,0.405370662,,57,0.415070327,0.230749266,0.394619873,0.346813155,,57,0.4235,0.163814718,0.332369563,0.306561427,,57,0.400356903,0.332369563,,0.366363233
58,0.502551197,0.482345262,0.462112692,0.482336384,,58,0.426639398,0.264717898,0.462112692,0.384489996,,58,0.4235,0.214556475,0.281191428,0.306415968,,58,0.335947274,0.281191428,,0.308569351
59,0.550343512,0.358364381,0.468038473,0.458915455,,59,0.432179825,0.290460503,0.468038473,0.396892934,,59,0.4235,0.183585364,0.33645038,0.314511915,,59,0.431642859,0.33645038,,0.38404662
60,0.566256839,0.330623254,0.561313184,0.486064426,,60,0.387612763,0.349647175,0.561313184,0.432857707,,60,0.4235,0.175784152,0.558733024,0.386005725,,60,0.362175397,0.558733024,,0.460454211
61,0.565883594,0.233638519,0.54329566,0.447605924,,61,0.428791452,0.282309494,0.54329566,0.418132202,,61,0.4235,0.219484229,0.352257408,0.331747212,,61,0.376489893,0.352257408,,0.364373651
62,0.477739515,0.321858518,0.476756769,0.425451601,,62,0.426037639,0.281121713,0.476756769,0.394638707,,62,0.4235,0.159584525,0.326641432,0.303241986,,62,0.418066921,0.326641432,,0.372354177
63,0.5652528,0.356324538,0.533481654,0.485019664,,63,0.455562319,0.286066024,0.533481654,0.425036666,,63,0.4235,0.161678961,0.365691713,0.316956891,,63,0.433873925,0.365691713,,0.399782819
64,0.535257835,0.360645368,0.456433749,0.450778984,,64,0.467858789,0.188692405,0.456433749,0.370994981,,64,0.4235,0.214384699,0.408537045,0.348807248,,64,0.355826208,0.408537045,,0.382181627
65,0.516244103,0.429534971,0.415881152,0.453886742,,65,0.441945371,0.215113138,0.415881152,0.357646554,,65,0.4235,0.170387248,0.379290956,0.324392735,,65,0.370148235,0.379290956,,0.374719596
66,0.582344954,0.343846647,0.481914085,0.469368562,,66,0.409390534,0.259552761,0.481914085,0.383619127,,66,0.4235,0.155671928,0.381606665,0.320259531,,66,0.369755739,0.381606665,,0.375681202
67,0.546912827,0.308114457,0.668706951,0.507911412,,67,0.422959331,0.291672133,0.668706951,0.461112805,,67,0.4235,0.158022877,0.325229281,0.302250719,,67,0.380608773,0.325229281,,0.352919027
